Date,Open,High,Low,Close
1965-05-01,6.9000000000,6.9000000000,6.9000000000,6.9000000000
1965-06-01,7.1000000000,7.1000000000,7.1000000000,7.1000000000
1965-07-01,7.2000000000,7.2000000000,7.2000000000,7.2000000000
1965-08-01,7.3000000000,7.3000000000,7.3000000000,7.3000000000
1965-09-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1965-10-01,7.5000000000,7.5000000000,7.5000000000,7.5000000000
1965-11-01,7.5000000000,7.5000000000,7.5000000000,7.5000000000
1965-12-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1966-01-01,7.6000000000,7.6000000000,7.6000000000,7.6000000000
1966-02-01,7.6000000000,7.6000000000,7.6000000000,7.6000000000
1966-03-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1966-04-01,8.0000000000,8.0000000000,8.0000000000,8.0000000000
1966-05-01,8.2000000000,8.2000000000,8.2000000000,8.2000000000
1966-06-01,8.4000000000,8.4000000000,8.4000000000,8.4000000000
1966-07-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1966-08-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1966-09-01,8.5000000000,8.5000000000,8.5000000000,8.5000000000
1966-10-01,8.4000000000,8.4000000000,8.4000000000,8.4000000000
1966-11-01,8.2000000000,8.2000000000,8.2000000000,8.2000000000
1966-12-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1967-01-01,7.5000000000,7.5000000000,7.5000000000,7.5000000000
1967-02-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1967-03-01,7.2000000000,7.2000000000,7.2000000000,7.2000000000
1967-04-01,6.9000000000,6.9000000000,6.9000000000,6.9000000000
1967-05-01,6.9000000000,6.9000000000,6.9000000000,6.9000000000
1967-06-01,6.9000000000,6.9000000000,6.9000000000,6.9000000000
1967-07-01,6.9000000000,6.9000000000,6.9000000000,6.9000000000
1967-08-01,6.8000000000,6.8000000000,6.8000000000,6.8000000000
1967-09-01,6.7000000000,6.7000000000,6.7000000000,6.7000000000
1967-10-01,6.7000000000,6.7000000000,6.7000000000,6.7000000000
1967-11-01,6.8000000000,6.8000000000,6.8000000000,6.8000000000
1967-12-01,6.8000000000,6.8000000000,6.8000000000,6.8000000000
1968-01-01,6.7000000000,6.7000000000,6.7000000000,6.7000000000
1968-02-01,6.7000000000,6.7000000000,6.7000000000,6.7000000000
1968-03-01,6.7000000000,6.7000000000,6.7000000000,6.7000000000
1968-04-01,6.6000000000,6.6000000000,6.6000000000,6.6000000000
1968-05-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1968-06-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1968-07-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1968-08-01,6.3000000000,6.3000000000,6.3000000000,6.3000000000
1968-09-01,6.3000000000,6.3000000000,6.3000000000,6.3000000000
1968-10-01,6.3000000000,6.3000000000,6.3000000000,6.3000000000
1968-11-01,6.3000000000,6.3000000000,6.3000000000,6.3000000000
1968-12-01,6.3000000000,6.3000000000,6.3000000000,6.3000000000
1969-01-01,6.3000000000,6.3000000000,6.3000000000,6.3000000000
1969-02-01,6.3000000000,6.3000000000,6.3000000000,6.3000000000
1969-03-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1969-04-01,6.5000000000,6.5000000000,6.5000000000,6.5000000000
1969-05-01,6.5000000000,6.5000000000,6.5000000000,6.5000000000
1969-06-01,6.7000000000,6.7000000000,6.7000000000,6.7000000000
1969-07-01,6.9000000000,6.9000000000,6.9000000000,6.9000000000
1969-08-01,6.9000000000,6.9000000000,6.9000000000,6.9000000000
1969-09-01,7.2000000000,7.2000000000,7.2000000000,7.2000000000
1969-10-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1969-11-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1969-12-01,7.6000000000,7.6000000000,7.6000000000,7.6000000000
1970-01-01,7.6000000000,7.6000000000,7.6000000000,7.6000000000
1970-02-01,7.8000000000,7.8000000000,7.8000000000,7.8000000000
1970-03-01,8.1000000000,8.1000000000,8.1000000000,8.1000000000
1970-04-01,8.1000000000,8.1000000000,8.1000000000,8.1000000000
1970-05-01,8.4000000000,8.4000000000,8.4000000000,8.4000000000
1970-06-01,8.7000000000,8.7000000000,8.7000000000,8.7000000000
1970-07-01,8.7000000000,8.7000000000,8.7000000000,8.7000000000
1970-08-01,8.4000000000,8.4000000000,8.4000000000,8.4000000000
1970-09-01,8.5000000000,8.5000000000,8.5000000000,8.5000000000
1970-10-01,8.7000000000,8.7000000000,8.7000000000,8.7000000000
1970-11-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1970-12-01,8.2000000000,8.2000000000,8.2000000000,8.2000000000
1971-01-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1971-02-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1971-03-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1971-04-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1971-05-01,8.0000000000,8.0000000000,8.0000000000,8.0000000000
1971-06-01,8.2000000000,8.2000000000,8.2000000000,8.2000000000
1971-07-01,8.3000000000,8.3000000000,8.3000000000,8.3000000000
1971-08-01,8.3000000000,8.3000000000,8.3000000000,8.3000000000
