Date,Open,High,Low,Close
1994-08-01,5.492,5.492,5.492,5.492
1994-09-01,5.636,5.636,5.636,5.636
1994-10-01,5.594,5.594,5.594,5.594
1994-11-01,5.368,5.368,5.368,5.368
1994-12-01,5.304,5.304,5.304,5.304
1995-01-01,5.322,5.322,5.322,5.322
1995-02-01,5.325,5.325,5.325,5.325
1995-03-01,5.179,5.179,5.179,5.179
1995-04-01,5.033,5.033,5.033,5.033
1995-05-01,4.873,4.873,4.873,4.873
1995-06-01,4.936,4.936,4.936,4.936
1995-07-01,4.859,4.859,4.859,4.859
1995-08-01,4.730,4.730,4.730,4.730
1995-09-01,4.555,4.555,4.555,4.555
1995-10-01,4.380,4.380,4.380,4.380
1995-11-01,4.057,4.057,4.057,4.057
1995-12-01,4.090,4.090,4.090,4.090
1996-01-01,4.437,4.437,4.437,4.437
1996-02-01,4.358,4.358,4.358,4.358
1996-03-01,4.406,4.406,4.406,4.406
1996-04-01,4.329,4.329,4.329,4.329
1996-05-01,4.682,4.682,4.682,4.682
1996-06-01,4.627,4.627,4.627,4.627
1996-07-01,4.561,4.561,4.561,4.561
1996-08-01,4.467,4.467,4.467,4.467
1996-09-01,4.256,4.256,4.256,4.256
1996-10-01,4.166,4.166,4.166,4.166
1996-11-01,4.191,4.191,4.191,4.191
1996-12-01,4.125,4.125,4.125,4.125
1997-01-01,3.959,3.959,3.959,3.959
1997-02-01,3.517,3.517,3.517,3.517
1997-03-01,3.853,3.853,3.853,3.853
1997-04-01,3.769,3.769,3.769,3.769
1997-05-01,3.586,3.586,3.586,3.586
1997-06-01,3.522,3.522,3.522,3.522
1997-07-01,3.585,3.585,3.585,3.585
1997-08-01,3.692,3.692,3.692,3.692
1997-09-01,3.704,3.704,3.704,3.704
1997-10-01,3.719,3.719,3.719,3.719
1997-11-01,3.692,3.692,3.692,3.692
1997-12-01,3.445,3.445,3.445,3.445
1998-01-01,3.084,3.084,3.084,3.084
1998-02-01,2.964,2.964,2.964,2.964
1998-03-01,3.109,3.109,3.109,3.109
1998-04-01,3.344,3.344,3.344,3.344
1998-05-01,3.179,3.179,3.179,3.179
1998-06-01,3.308,3.308,3.308,3.308
1998-07-01,3.190,3.190,3.190,3.190
1998-08-01,2.988,2.988,2.988,2.988
1998-09-01,3.086,3.086,3.086,3.086
1998-10-01,2.914,2.914,2.914,2.914
1998-11-01,2.659,2.659,2.659,2.659
1998-12-01,2.710,2.710,2.710,2.710
1999-01-01,2.555,2.555,2.555,2.555
1999-02-01,2.550,2.550,2.550,2.550
1999-03-01,2.604,2.604,2.604,2.604
1999-04-01,2.534,2.534,2.534,2.534
1999-05-01,2.720,2.720,2.720,2.720
1999-06-01,2.937,2.937,2.937,2.937
1999-07-01,3.044,3.044,3.044,3.044
1999-08-01,3.169,3.169,3.169,3.169
1999-09-01,3.427,3.427,3.427,3.427
1999-10-01,3.625,3.625,3.625,3.625
1999-11-01,3.690,3.690,3.690,3.690
1999-12-01,3.617,3.617,3.617,3.617
2000-01-01,3.784,3.784,3.784,3.784
2000-02-01,3.868,3.868,3.868,3.868
2000-03-01,4.155,4.155,4.155,4.155
2000-04-01,4.076,4.076,4.076,4.076
2000-05-01,4.190,4.190,4.190,4.190
2000-06-01,4.008,4.008,4.008,4.008
2000-07-01,3.976,3.976,3.976,3.976
2000-08-01,3.840,3.840,3.840,3.840
2000-09-01,3.954,3.954,3.954,3.954
2000-10-01,3.927,3.927,3.927,3.927
2000-11-01,3.771,3.771,3.771,3.771
2000-12-01,3.552,3.552,3.552,3.552
2001-01-01,3.497,3.497,3.497,3.497
2001-02-01,3.492,3.492,3.492,3.492
2001-03-01,3.327,3.327,3.327,3.327
2001-04-01,3.529,3.529,3.529,3.529
2001-05-01,3.556,3.556,3.556,3.556
2001-06-01,3.383,3.383,3.383,3.383
2001-07-01,3.357,3.357,3.357,3.357
2001-08-01,3.317,3.317,3.317,3.317
2001-09-01,3.302,3.302,3.302,3.302
2001-10-01,3.005,3.005,3.005,3.005
2001-11-01,3.261,3.261,3.261,3.261
2001-12-01,3.555,3.555,3.555,3.555
2002-01-01,3.590,3.590,3.590,3.590
2002-02-01,3.610,3.610,3.610,3.610
2002-03-01,3.636,3.636,3.636,3.636
2002-04-01,3.528,3.528,3.528,3.528
2002-05-01,3.465,3.465,3.465,3.465
2002-06-01,3.299,3.299,3.299,3.299
2002-07-01,3.248,3.248,3.248,3.248
2002-08-01,3.192,3.192,3.192,3.192
2002-09-01,2.761,2.761,2.761,2.761
2002-10-01,2.863,2.863,2.863,2.863
2002-11-01,2.799,2.799,2.799,2.799
